MQ-3,MQ-4,MQ-135,Label
196,371,40,none
196,369,40,none
196,370,39,none
195,369,37,none
196,367,39,none
196,367,40,none
196,370,41,none
195,365,40,none
195,363,41,none
194,365,39,none
195,364,36,none
192,363,38,none
194,361,42,none
193,363,40,none
193,363,39,none
193,362,39,none
193,361,38,none
188,360,39,none
192,360,39,none
192,359,39,none
187,359,39,none
192,359,38,none
191,358,37,none
191,357,37,none
191,355,37,none
190,356,38,none
190,355,37,none
190,354,38,none
190,354,37,none
189,353,38,none
189,353,38,none
189,351,36,none
189,352,36,none
189,351,38,none
189,356,38,none
188,350,37,none
188,351,36,none
188,349,37,none
179,347,34,none
187,348,37,none
188,348,36,none
187,348,36,none
188,345,37,none
186,347,36,none
187,346,37,none
186,341,29,none
185,345,36,none
186,343,38,none
185,343,36,none
186,342,38,none
186,342,36,none
185,340,37,none
184,341,36,none
184,340,41,none
183,340,36,none
178,342,36,none
184,340,35,none
183,338,36,none
184,338,36,none
183,338,36,none
183,336,36,none
182,336,36,none
182,336,35,none
182,336,36,none
176,339,35,none
183,336,36,none
182,335,35,none
182,333,35,none
183,335,37,none
181,332,36,none
181,332,35,none
181,332,33,none
180,331,35,none
182,331,35,none
180,331,35,none
180,330,36,none
180,329,35,none
180,328,34,none
180,328,33,none
179,328,35,none
180,327,34,none
180,327,35,none
179,326,34,none
180,325,35,none
179,323,28,none
180,324,37,none
179,322,37,none
179,323,37,none
180,324,35,none
179,323,34,none
177,323,34,none
177,321,34,none
178,319,37,none
178,316,36,none
177,324,36,none
177,320,34,none
177,319,34,none
177,319,34,none
176,318,34,none
176,319,33,none
176,317,36,none
176,318,33,none
176,317,33,none
176,316,35,none
176,315,35,none
175,316,33,none
176,316,35,none
175,313,33,none
174,314,35,none
175,314,33,none
175,312,34,none
175,313,33,none
175,312,33,none
174,313,35,none
174,311,33,none
172,311,32,none
174,311,32,none
174,309,25,none
173,311,32,none
173,310,32,none
173,309,33,none
173,309,34,none
173,308,32,none
173,308,33,none
173,308,32,none
172,308,32,none
171,311,33,none
172,308,32,none
172,306,32,none
172,306,32,none
172,306,32,none
172,309,32,none
172,304,32,none
172,305,32,none
172,304,32,none
172,303,32,none
171,303,32,none
172,304,32,none
172,301,25,none
171,302,28,none
172,302,32,none
162,298,29,none
170,300,32,none
171,301,32,none
172,300,33,none
170,300,32,none
170,298,33,none
171,299,32,none
170,300,32,none
171,303,33,none
170,299,32,none
169,296,32,none
170,298,32,none
169,297,31,none
170,296,32,none
169,297,32,none
169,296,31,none
170,294,34,none
169,295,31,none
168,294,31,none
168,292,32,none
168,293,32,none
168,293,32,none
168,292,32,none
168,291,23,none
168,292,32,none
167,292,31,none
167,292,31,none
167,290,32,none
167,290,32,none
167,290,32,none
168,292,32,none
167,288,32,none
165,288,31,none
168,290,32,none
166,288,31,none
166,288,30,none
165,288,31,none
165,285,31,none
166,286,32,none
165,286,31,none
164,285,30,none
165,284,32,none
164,285,30,none
164,284,29,none
164,284,30,none
166,287,32,none
166,284,31,none
165,282,30,none
164,287,28,none
164,281,31,none
164,281,30,none
164,280,29,none
164,280,31,none
164,280,29,none
164,279,32,none
164,280,31,none
164,280,30,none
163,279,29,none
163,279,30,none
163,278,29,none
163,278,29,none
163,278,29,none
162,276,31,none
163,276,29,none
163,276,30,none
162,275,31,none
162,276,29,none
163,275,23,none
162,275,29,none
162,275,29,none
161,274,29,none
161,274,30,none
164,276,31,none
162,273,30,none
160,272,29,none
160,272,28,none
160,272,29,none
160,272,29,none
161,264,24,none
160,271,28,none
159,270,28,none
157,273,28,none
161,271,29,none
160,270,29,none
160,269,29,none
161,269,31,none
160,268,28,none
159,268,31,none
160,267,31,none
159,268,28,none
160,268,33,none
157,268,28,none
160,266,29,none
159,268,28,none
159,265,29,none
159,266,29,none
158,266,28,none
159,264,20,none
158,265,28,none
148,259,25,none
160,264,28,none
159,262,31,none
157,264,28,none
158,264,28,none
159,264,29,none
157,263,28,none
157,263,29,none
157,262,28,none
157,262,28,none
157,262,29,none
157,260,31,none
156,260,29,none
156,260,28,none
156,260,28,none
156,260,28,none
156,260,28,none
156,259,28,none
156,259,30,none
156,258,28,none
156,258,28,none
151,258,28,none
156,258,28,none
156,255,27,none
155,255,28,none
156,255,28,none
156,255,28,none
155,254,28,none
156,259,28,none
155,254,27,none
154,252,28,none
155,252,28,none
155,252,27,none
155,252,28,none
155,254,28,none
154,252,27,none
153,252,28,none
154,251,20,none
154,251,28,none
153,251,28,none
155,251,29,none
153,251,27,none
155,251,28,none
153,249,28,none
153,249,28,none
152,248,27,none
153,249,25,none
152,249,28,none
153,248,28,none
153,249,29,none
154,248,29,none
153,247,29,none
152,247,27,none
153,247,28,none
154,247,28,none
152,245,28,none
152,244,27,none
151,245,27,none
152,244,27,none
143,241,24,none
153,245,28,none
152,244,28,none
151,244,27,none
151,244,26,none
151,244,27,none
151,244,26,none
150,244,27,none
151,243,26,none
150,244,27,none
151,242,27,none
152,246,28,none
151,242,27,none
150,243,27,none
149,241,24,none
151,241,29,none
150,241,27,none
151,242,26,none
148,241,27,none
151,241,27,none
150,242,26,none
150,240,28,none
151,242,27,none
150,241,28,none
151,241,27,none
152,240,27,none
149,243,27,none
151,241,27,none
151,243,24,none
151,240,26,none
149,244,27,none
